element,sp_num,obs_wl_vac(A),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Ti,2,3566.9854,95,3.9e+06,D,1.16493098,4.64081303,3d3,a 4P,3/2,3d2.(3P).4p,z 2S*,1/2,,T2403,u37
Mn,2,3567.02,8,1.6e+07,D,10.7739579,14.249808,3d4.(5D).4s.4p.(3P*),w 5P*,3,3d5.(6S).7d,5D,4,,c88,L562
Cr,1,3567.13,20wH*,,,4.19265380,7.66842,3d4.(5D).4s.4p.(3P*),z 5D*,4,3d4.4s.5s,e 5P,3,,,L808
Cr,1,3567.13,20wH*,,,3.14419143,6.6199389,3d4.(5D).4s.4p.(3P*),z 7F*,4,3d4.4s.4d,e 7G,5,,,L808
V,1,3567.164,470000bl,,,1.06360365,4.5392903,3d4.(5D).4s,a 4D,5/2,3d3.(2D2).4s.4p.(3P*),x 4P*,5/2,,,L4235
V,2,3567.1943,26000,8.7e+06,B,1.07126862,4.54694489,3d3.(4F).4s,a 3F,2,3d3.(4F).4p,z 5F*,2,,T9616n,L18516
Na,2,3567.20,130,,,,,,,,,,,,,L914
Fe,1,3567.3279,600,3.3e+06,E,2.27860466,5.75415389,3d6.4s2,a 3P2,2,3d7.(4P).4p,w 5P*,1,,T2578n,L11631
O,2,3567.586,2,,,29.820351,33.295647,2s2.2p2.(3P).4s,2P,3/2,2s2.2p2.(3P).6p,4D*,5/2,,,L10621
Fe,1,3567.5988,1070,,,2.40407444,5.87935896,3d6.4s2,a 3H,6,3d6.(3G).4s.4p.(3P*),w 5G*,5,,,L11631
V,1,3567.843,11000,,,2.12223095,5.59727866,3d4.(3G).4s,a 4G,7/2,3d3.4s.(5F).5p,4G*,9/2,,,L15916
Sc,1,3567.943,4,,,2.0098848,5.484838,3d.4s.(3D).4p,4D*,7/2,3d.(2D).4p2.(3P),4P,5/2,,,L4189c12
Fe,1,3568.0495,3890,8.34e+06,B+,2.87550352,6.35034852,3d6.(5D).4s.4p.(3P*),z 7F*,2,3d6.(5D).4s (6D).4d,e 5G,3,,T5720,L11631
S,2,3568.176,17,,,16.534639,20.009370,3s2.3p2.(3P).3d,2D,3/2,3s2.3p2.(3P<2>).4f,2[3]*,5/2,,,L5883
B,3,3568.19,80,2.60e+07,A,29.470829,32.94555,1s2.4s,2S,1/2,1s2.5p,2P*,3/2,,T5118LS,L482
Fe,1,3568.3875,1950,4.71e+05,C+,2.45343044,5.92794713,3d6.4s2,a 3H,4,3d6.(3F2).4s.4p.(3P*),x 3G*,4,,T5720,L11631
